epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,462.574,0.78126,3.45975,1.35198,0.37799,0.92138,0.74974,0.45504,1.0415,2.99814,1.60623,0.00054889,0.00054889,0.00054889
2,909.279,1.12567,1.7989,1.60356,0.52212,0.61423,0.55324,0.29044,1.47458,1.77632,2.10014,0.00104988,0.00104988,0.00104988
3,1360.88,1.13782,1.50038,1.62582,0.56657,0.56593,0.56826,0.29838,1.41097,2.07124,2.11414,0.00149586,0.00149586,0.00149586
4,1813.89,1.1293,1.43738,1.59014,0.61945,0.67499,0.70121,0.4324,1.16668,1.61486,1.8065,0.00141945,0.00141945,0.00141945
5,2263.24,1.03166,1.33948,1.52261,0.41051,0.62834,0.46921,0.25606,1.3919,2.25498,2.11369,0.00133693,0.00133693,0.00133693
6,2712.48,1.01909,1.32538,1.52316,0.6866,0.74915,0.75382,0.47577,1.0766,1.23793,1.62751,0.00125442,0.00125442,0.00125442
7,3158.07,0.96448,1.18862,1.46795,0.75759,0.72954,0.81271,0.51278,1.10825,1.19649,1.62615,0.0011719,0.0011719,0.0011719
8,3605.66,0.94468,1.17863,1.43095,0.84421,0.77122,0.85983,0.59162,0.9209,1.03177,1.51638,0.00108938,0.00108938,0.00108938
9,4055.55,0.87204,1.07536,1.39394,0.82317,0.77594,0.85549,0.60265,0.92829,0.9723,1.54088,0.00100687,0.00100687,0.00100687
10,4512.01,0.84937,1.07465,1.37385,0.86475,0.74455,0.85811,0.61501,0.86066,0.99624,1.40238,0.000924352,0.000924352,0.000924352
11,4980.98,0.85916,1.14368,1.49448,0.84236,0.78157,0.86579,0.61356,0.87045,1.02001,1.49387,0.000841835,0.000841835,0.000841835
12,5434.34,0.79647,0.99746,1.44762,0.87377,0.78393,0.85044,0.55548,1.09706,1.05381,1.72207,0.000759318,0.000759318,0.000759318
13,5881.75,0.72236,0.86338,1.36067,0.8742,0.77778,0.88083,0.64567,0.838,0.92647,1.38382,0.000676802,0.000676802,0.000676802
14,6324,0.72232,0.84351,1.36066,0.87251,0.84448,0.89285,0.67184,0.76198,0.86018,1.31501,0.000594286,0.000594286,0.000594286
15,6775.1,0.64588,0.77636,1.29713,0.8799,0.87434,0.91774,0.68521,0.76006,0.75552,1.3296,0.000511769,0.000511769,0.000511769
16,7212.48,0.62603,0.70317,1.27338,0.91909,0.81198,0.88304,0.67271,0.71437,0.80591,1.28716,0.000429253,0.000429253,0.000429253
17,7661.16,0.56577,0.69622,1.2134,0.94091,0.85122,0.91881,0.71021,0.68143,0.74353,1.2403,0.000346736,0.000346736,0.000346736
18,8107.37,0.55711,0.63867,1.21862,0.93205,0.84599,0.9132,0.72829,0.61974,0.75431,1.17877,0.00026422,0.00026422,0.00026422
19,8556.34,0.52907,0.60852,1.18979,0.95194,0.86916,0.92597,0.73781,0.61986,0.6947,1.19067,0.000181703,0.000181703,0.000181703
20,9014.91,0.48583,0.59261,1.14459,0.92564,0.87782,0.92426,0.74746,0.60066,0.67768,1.16743,9.91865e-05,9.91865e-05,9.91865e-05
